#lab INRiM MICa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7 
#d 1.0
#N 20
#dbm 5
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
192.200000	2.837000	-64.796510	1.934491
192.000000	2.855000	-61.158480	2.243188
191.800000	2.820000	-58.573580	1.804784
191.600000	2.800000	-56.578030	2.111167
191.400000	2.817000	-53.327940	2.152235
191.200000	2.848000	-49.436100	1.880354
191.000000	2.807000	-47.559610	2.375820
190.800000	2.802000	-46.720740	1.980014
190.600000	2.828000	-45.619740	2.064673
190.400000	2.856000	-43.177610	2.226396
190.200000	2.801000	-42.021360	2.117215
190.000000	2.809000	-40.748740	2.185754
189.800000	2.841000	-40.698310	1.857957
189.600000	2.853000	-39.665380	2.183537
189.400000	2.816000	-39.026020	2.027023
189.200000	2.800000	-38.775020	2.076587
189.000000	2.852000	-37.637700	2.244283
188.800000	2.845000	-37.275980	1.838411
188.600000	2.804000	-35.874050	2.115917
188.400000	2.804000	-35.209640	2.402560
188.200000	2.832000	-34.777270	1.966646
188.000000	2.831000	-32.195070	2.352782
187.800000	2.799000	-31.225680	2.055777
187.600000	2.811000	-29.977540	2.161625
187.400000	2.845000	-29.891730	2.249760
187.200000	2.851000	-28.830020	2.187073
187.000000	2.811000	-28.409280	2.151286
186.800000	2.820000	-27.778260	2.074218
186.600000	2.853000	-26.966160	2.118884
186.400000	2.842000	-27.176680	2.029795
186.200000	2.802000	-25.809480	1.809992
186.000000	2.805000	-25.721300	2.008967
185.800000	2.855000	-24.683170	1.738537
185.600000	2.827000	-22.671060	2.073960
185.400000	2.799000	-20.328860	1.772737
185.200000	2.813000	-19.558890	1.889624
185.000000	2.847000	-20.001420	2.225482
184.800000	2.812000	-18.778480	1.922930
184.600000	2.801000	-19.229740	2.265265
184.400000	2.822000	-18.010050	2.048618
184.200000	2.854000	-18.243540	2.048268
184.000000	2.838000	-17.377680	2.329939
183.800000	2.800000	-16.972300	1.777838
183.600000	2.835000	-16.630530	2.065378
183.400000	2.855000	-15.706010	2.104450
183.200000	2.823000	-15.381960	2.120272
183.000000	2.799000	-15.108980	2.202366
182.800000	2.814000	-14.530230	1.943947
182.600000	2.850000	-14.278740	2.187632
182.400000	2.809000	-13.392370	2.062163
182.200000	2.801000	-12.928310	2.075363
182.000000	2.824000	-12.074440	2.229197
181.800000	2.854000	-10.601540	1.984485
181.600000	2.835000	-9.491364	2.263768
181.400000	2.805000	-8.150465	2.061032
181.200000	2.836000	-7.738233	2.425548
181.000000	2.854000	-6.880714	2.468225
180.800000	2.821000	-6.180353	2.193613
180.600000	2.799000	-5.518679	2.158304
180.400000	2.846000	-3.949510	2.275123
180.200000	2.849000	-3.860215	1.911144
180.000000	2.809000	-3.345335	2.293268
179.800000	2.801000	-3.449564	2.110944
179.600000	2.823000	-3.405930	1.833593
179.400000	2.841000	-2.984653	2.369977
179.200000	2.801000	-3.209882	2.066160
179.000000	2.804000	-2.842120	2.119699
178.800000	2.832000	-2.997730	2.261539
178.600000	2.855000	-2.389493	1.897661
178.400000	2.826000	-2.978972	2.613375
178.200000	2.809000	-2.455374	1.967518
178.000000	2.843000	-2.405428	2.480472
177.800000	2.851000	-2.354766	2.614476
177.600000	2.812000	-2.238583	1.998004
177.400000	2.800000	-2.226212	2.579770
177.200000	2.851000	-2.130036	2.257032
177.000000	2.844000	-2.231373	2.136059
176.800000	2.803000	-2.137051	2.462929
176.600000	2.803000	-1.936847	1.874132
176.400000	2.831000	-2.392054	2.399862
176.200000	2.854000	-1.715455	2.114473
176.000000	2.799000	-2.409169	1.825839
175.800000	2.808000	-1.668263	2.432790
175.600000	2.842000	-1.583234	1.729161
175.400000	2.852000	-1.587623	2.302859
175.200000	2.815000	-1.162729	2.581533
175.000000	2.815000	-1.414646	1.902457
174.800000	2.849000	-1.208776	2.559439
174.600000	2.847000	-1.198400	2.020088
174.400000	2.805000	-1.081444	2.221645
174.200000	2.802000	-0.992843	2.297409
174.000000	2.854000	-1.051370	1.684178
173.800000	2.837000	-0.881515	2.595163
173.600000	2.800000	-0.851513	1.843463
173.400000	2.805000	-1.006518	1.886406
173.200000	2.834000	-0.788881	2.408187
173.000000	2.854000	-0.861467	1.636980
172.800000	2.799000	-0.507834	2.326810
172.600000	2.809000	-0.879288	2.162851
172.400000	2.842000	-0.627225	1.871068
172.200000	2.852000	-0.955715	2.463964
172.000000	2.815000	-0.626178	1.950992
171.800000	2.814000	-0.745266	2.200179
171.600000	2.847000	-0.889877	2.401946
171.400000	2.847000	-0.624500	1.829506
171.200000	2.807000	-0.815545	2.322589
171.000000	2.801000	-0.648331	2.330478
170.800000	2.822000	-0.815471	1.989752
170.600000	2.842000	-0.609466	2.255640
170.400000	2.802000	-0.661576	2.009059
170.200000	2.802000	-0.546014	2.123171
170.000000	2.829000	-0.572390	2.011686
169.800000	2.854000	-0.463030	1.936839
169.600000	2.799000	-0.309310	2.130859
169.400000	2.806000	-0.256908	1.939267
169.200000	2.837000	-0.234952	2.211234
169.000000	2.852000	-0.145960	2.080919
168.800000	2.819000	-0.160437	2.052275
168.600000	2.811000	0.137368	2.164971
168.400000	2.846000	-0.246821	1.984057
168.200000	2.848000	0.132310	2.015225
168.000000	2.808000	-0.140115	2.136827
167.800000	2.799000	-0.081787	1.802123
167.600000	2.821000	0.015497	2.123923
167.400000	2.841000	-0.061953	1.989533
167.200000	2.801000	-0.037817	1.879413
167.000000	2.803000	-0.037079	2.126520
166.800000	2.830000	-0.106303	1.861269
166.600000	2.854000	-0.183442	2.112461
166.400000	2.798000	-0.077097	2.023031
166.200000	2.807000	-0.206610	1.807332
166.000000	2.840000	-0.113604	2.171309
165.800000	2.851000	-0.167955	2.007340
165.600000	2.814000	-0.020131	1.856606
165.400000	2.799000	-0.192649	2.141186
165.200000	2.849000	-0.051218	1.840507
165.000000	2.844000	-0.130966	1.916203
164.800000	2.803000	-0.194425	2.056199
164.600000	2.802000	-0.032889	1.855426
164.400000	2.828000	-0.010856	1.968351
164.200000	2.833000	0.038329	1.738232
164.000000	2.798000	0.030199	2.035608
163.800000	2.807000	0.246679	1.900082
163.600000	2.840000	0.038730	1.812711
163.400000	2.852000	0.145093	2.039323
163.200000	2.798000	0.309262	1.815603
163.000000	2.813000	0.029977	1.820261
162.800000	2.848000	0.413386	2.069550
162.600000	2.846000	0.138500	1.850650
162.400000	2.804000	0.265715	1.825781
162.200000	2.800000	0.166160	1.969051
162.000000	2.853000	0.208348	1.769756
161.800000	2.835000	0.418720	2.066796
161.600000	2.798000	0.045588	1.828653
161.400000	2.805000	0.627683	1.991469
161.200000	2.835000	-0.118904	2.108687
161.000000	2.824000	0.458042	1.897160
160.800000	2.797000	0.040111	2.071630
160.600000	2.810000	0.314888	1.875086
160.400000	2.844000	0.071047	1.982854
160.200000	2.849000	0.110767	2.027957
160.000000	2.810000	0.007743	1.647272
159.800000	2.817000	-0.001202	2.138945
159.600000	2.850000	0.130223	1.759430
