#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 1.5
#V -295
#
#Time	Temp	Current
# s	K	pA	
886.567710	144.334000	-10.797520
888.568579	144.334000	-10.189540
890.569355	144.286000	-10.416720
892.569697	144.252000	-10.542570
894.570032	144.224000	-11.218050
896.570157	144.192000	-10.957420
898.569931	144.192000	-11.976020
900.570457	144.163000	-11.989390
902.570581	144.137000	-11.184000
904.571029	144.096000	-10.113330
906.571175	144.096000	-10.748070
908.570946	144.060000	-10.927430
910.572446	144.029000	-10.560200
912.572126	143.984000	-11.219270
914.572105	143.984000	-11.220280
916.572734	143.954000	-11.148530
918.573165	143.916000	-11.338840
920.573050	143.880000	-10.696790
922.574531	143.858000	-10.529400
924.574014	143.858000	-11.336810
926.574240	143.833000	-10.715850
928.574039	143.796000	-10.547830
930.574214	143.764000	-10.902500
932.573709	143.764000	-11.466110
934.574173	143.747000	-10.810280
936.574297	143.709000	-10.123660
938.573913	143.674000	-10.652610
940.575569	143.674000	-11.074350
942.575194	143.646000	-10.803190
944.576035	143.610000	-10.238770
946.575744	143.581000	-10.748270
948.575846	143.546000	-11.494270
950.576285	143.546000	-11.264650
952.575975	143.503000	-10.226410
954.576067	143.468000	-10.293690
956.577064	143.441000	-11.216620
958.576955	143.441000	-10.124270
960.577588	143.396000	-10.611470
962.578209	143.366000	-10.640860
964.578238	143.331000	-10.135010
966.579149	143.331000	-10.540340
968.580074	143.283000	-9.785211
970.581594	143.244000	-10.284580
972.581251	143.208000	-10.886490
974.581043	143.168000	-10.626470
976.580706	143.168000	-10.106230
978.582453	143.131000	-10.152230
980.582087	143.103000	-10.221950
982.582739	143.067000	-10.461300
984.582709	143.067000	-9.882896
986.582994	143.040000	-9.924847
988.582875	143.005000	-10.190540
990.584574	142.960000	-10.400090
992.584149	142.960000	-9.993747
994.585508	142.917000	-9.855940
996.585103	142.884000	-10.604780
998.585235	142.848000	-10.606200
1000.586639	142.818000	-8.869372
1002.585792	142.818000	-9.949569
1004.586462	142.789000	-10.205940
1006.585944	142.758000	-10.095290
1008.585986	142.743000	-9.699280
1010.587407	142.743000	-9.488914
1012.587617	142.720000	-10.287010
1014.586939	142.685000	-10.187290
1016.587249	142.655000	-9.907013
1018.587039	142.655000	-9.745080
1020.588254	142.626000	-10.020710
1022.587726	142.590000	-10.273420
1024.587795	142.557000	-10.088800
1026.589471	142.522000	-9.612136
1028.588993	142.522000	-9.976931
1030.589475	142.488000	-9.781764
1032.588877	142.469000	-9.843980
1034.589271	142.430000	-9.732314
1036.589037	142.430000	-9.912683
1038.589269	142.392000	-10.123450
1040.588973	142.360000	-10.046040
1042.588868	142.324000	-10.001650
