#lab INRiM MiCb 30mK plate
#hv keithley6487
#s CNTArO2Etching_N1new
#t 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
37.000000	3.360000	1.866689	9.420932
36.800000	3.346000	-2.736319	9.184970
36.600000	3.323000	2.055331	9.794876
36.400000	3.362000	1.686290	9.603924
36.200000	3.358000	-1.926659	11.736120
36.000000	3.343000	0.769670	7.246582
35.800000	3.321000	-2.364750	14.070840
35.600000	3.361000	2.316094	7.299922
35.400000	3.356000	-2.481868	15.177680
35.200000	3.343000	1.457881	8.717044
35.000000	3.320000	0.164184	10.696600
34.800000	3.344000	1.578063	9.720330
34.600000	3.323000	3.213909	7.112001
34.400000	3.304000	1.818153	15.482440
34.200000	3.294000	-1.463507	9.595387
34.000000	3.344000	-1.581206	7.447426
33.800000	3.324000	0.045866	14.439190
33.600000	3.303000	-2.695820	8.702671
33.400000	3.292000	1.990843	8.473464
33.200000	3.344000	-3.377462	10.074910
33.000000	3.325000	4.281734	7.005938
32.800000	3.303000	-2.032481	8.695971
32.600000	3.292000	3.558779	6.848043
32.400000	3.307000	-4.229120	13.779820
32.200000	3.292000	2.207637	9.117844
32.000000	3.289000	0.381534	9.753779
31.800000	3.292000	-2.931388	10.815870
31.600000	3.306000	4.755584	4.503247
31.400000	3.291000	-2.836170	11.067570
31.200000	3.287000	3.569691	8.955706
31.000000	3.290000	-4.450646	5.317803
30.800000	3.297000	3.494195	9.298362
30.600000	3.289000	-1.511107	11.351020
30.400000	3.285000	3.636475	6.477380
30.200000	3.288000	-3.769174	10.510080
30.000000	3.295000	3.810188	8.500671
29.800000	3.286000	-3.201987	12.272910
29.600000	3.292000	3.482406	12.567940
29.400000	3.304000	0.067110	11.859880
29.200000	3.320000	-1.738723	7.029110
29.000000	3.285000	1.315402	7.726549
28.800000	3.291000	3.139912	10.153240
28.600000	3.302000	-2.062529	7.382901
28.400000	3.338000	1.996459	8.290379
28.200000	3.320000	4.445703	10.454900
28.000000	3.298000	-2.019869	8.204051
27.800000	3.324000	-2.978608	7.646965
27.600000	3.303000	1.221550	7.577616
27.400000	3.286000	2.313463	8.134813
27.200000	3.279000	3.910735	6.861606
27.000000	3.325000	0.543394	7.085634
26.800000	3.304000	-1.146745	10.002610
26.600000	3.285000	3.783553	6.929419
26.400000	3.277000	1.820182	11.722010
26.200000	3.288000	-1.237016	12.958280
26.000000	3.277000	-2.332671	15.860390
25.800000	3.276000	1.049717	22.212180
25.600000	3.282000	0.087284	11.243930
25.400000	3.292000	3.941181	6.683520
25.200000	3.275000	3.564448	10.334530
25.000000	3.274000	3.715680	6.876607
24.800000	3.279000	-2.227729	12.895920
24.600000	3.288000	-3.727298	9.034718
24.400000	3.276000	3.190661	17.968800
24.200000	3.285000	-4.379005	14.791210
24.000000	3.299000	2.481747	21.689640
23.800000	3.316000	-2.558696	20.177100
23.600000	3.275000	-2.855019	21.161230
23.400000	3.283000	4.043126	16.287770
23.200000	3.296000	0.064054	20.383250
23.000000	3.312000	1.843293	16.436270
22.800000	3.273000	-2.368793	20.305900
22.600000	3.280000	-2.058890	16.315560
22.400000	3.293000	3.733696	16.425070
22.200000	3.310000	-3.428239	19.529610
22.000000	3.289000	3.977763	21.317980
21.800000	3.305000	1.357960	26.777730
21.600000	3.321000	3.844128	25.894150
21.400000	3.330000	-2.409401	13.403490
21.200000	3.286000	-2.772929	20.741190
21.000000	3.302000	-2.742237	20.289130
20.800000	3.319000	4.368736	15.792190
20.600000	3.328000	-1.441625	12.357140
20.400000	3.283000	-0.588028	14.972930
20.200000	3.299000	1.082741	30.042320
20.000000	3.316000	3.941471	23.483680
19.800000	3.327000	-3.096299	21.126210
19.600000	3.311000	-0.475003	16.302330
19.400000	3.324000	-1.390200	34.972550
19.200000	3.326000	-3.192353	13.975020
19.000000	3.318000	-2.483412	12.556160
18.800000	3.308000	2.683756	28.825700
18.600000	3.321000	-1.280264	28.825370
18.400000	3.326000	0.543083	19.292020
18.200000	3.319000	3.343380	17.680850
18.000000	3.305000	-1.768860	26.176390
17.800000	3.318000	4.578493	21.604210
