#lab INRiM MiCb
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 2.7
#d 0.5
#V 120
#
#Time	Temp	Current
# s	K	pA	
506.053530	91.513000	49715.640000
508.053535	91.513000	114603.400000
510.053489	91.517000	95750.960000
512.054260	91.519000	133204.300000
514.053580	91.522000	115149.600000
516.054101	91.522000	148598.900000
518.053635	91.522000	167113.300000
520.054035	91.525000	198453.100000
522.053929	91.528000	279863.400000
524.053679	91.528000	241371.700000
526.055344	91.529000	548012.900000
528.055513	91.533000	330013.300000
530.055642	91.535000	269466.500000
532.055533	91.537000	177633.900000
534.056847	91.537000	203682.200000
536.056640	91.541000	208758.500000
538.056870	91.542000	117225.700000
540.056796	91.545000	106120.700000
542.056849	91.545000	120285.500000
544.056866	91.546000	328009.700000
546.057315	91.549000	416683.100000
548.057201	91.552000	211008.100000
550.056652	91.552000	153728.600000
552.056937	91.554000	195556.100000
554.056489	91.556000	159437.500000
556.056675	91.558000	114468.300000
558.057221	91.561000	176545.400000
560.058340	91.561000	98509.760000
562.057847	91.562000	94203.780000
564.058423	91.565000	114601.300000
